,0
303,8.222274941349639e-06
304,0.0
305,1.2950085448437676e-11
306,2.206042407681963e-05
307,4.02827919909754e-08
308,0.0
309,9.618972285352356e-13
310,1.0511304483262762e-05
311,0.00021127838401824306
312,2.995159675833747e-11
313,3.5943762042744964e-05
314,6.245118571945873e-05
315,5.1514348342607263e-14
316,1.5392238594813534e-09
317,0.0009325226562149069
318,3.85668372375747e-05
319,6.149161491109112e-08
320,1.9753390034793483e-09
321,9.299997385925352e-05
322,2.930988785010413e-14
323,4.440892098500626e-16
324,3.235346821561791e-06
325,1.531986484781811e-06
326,1.0859313448463581e-11
327,1.3069545445887343e-12
328,0.0
329,1.7369004956524492e-06
330,1.3737430376359328e-05
331,3.709807960383671e-06
332,3.9535691631620296e-06
333,0.0004416359347971799
334,1.6799005142509316e-07
335,0.026995246332870426
336,0.003166749370489663
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0015276232251255628
342,4.127528594022323e-06
343,6.402878227618203e-12
344,1.217137133302515e-07
345,2.930988785010413e-14
346,0.0
347,2.589640433203755e-06
348,7.999822071447227e-08
349,0.001147853013368394
350,0.0
351,0.0
352,0.0591140852714469
353,7.168784676991891e-09
354,0.05084778758802688
355,2.2530697263434263e-07
356,6.217248937900877e-15
357,4.3027246126037255e-06
358,3.951727833850782e-10
359,2.9100055698449978e-11
360,0.0
361,0.00037165597107602366
362,3.0686564400639327e-13
363,0.006721755045968614
364,0.000939170985385207
365,0.0
366,9.360461739049697e-08
367,0.002818776301958259
368,0.0
369,1.0435854451706916e-06
370,0.00808893297083646
371,8.763401047051644e-07
372,0.00016367826509866568
373,0.0018224436889737738
374,0.015023716210386784
375,1.356216783321429e-08
376,0.0
377,0.0
378,2.4486856986527528e-11
379,1.1905748968032981e-05
380,3.927645876089514e-06
381,1.8927046785410795e-06
382,1.142197447734361e-12
383,5.365003921120604e-07
384,1.5745014181334227e-09
385,0.0
386,4.107469919745199e-11
387,0.0
388,0.0015065575264032738
389,8.397933459747264e-09
390,8.278342011891482e-09
391,1.4695358681038329e-06
392,2.8569853748550145e-05
393,3.9889774088752716e-05
394,3.9144310015615247e-10
395,0.0
396,1.607498578692912e-10
397,0.0
398,3.04911651483053e-12
399,7.178969444154859e-05
400,3.7125857943465235e-13
401,3.1086244689504383e-15
402,1.3322676295501878e-15
403,2.379698393895069e-08
404,7.931361940993753e-06
405,3.1859019578028835e-07
406,0.0006155576723996248
407,2.7849470520813213e-06
408,0.0014714958341728313
409,4.3656189774310405e-12
410,0.0
411,2.0961914426465e-09
412,0.0001696791124932151
413,4.440892098500626e-16
414,0.0
415,7.5910323582562e-08
416,8.971143028446704e-08
417,1.784204473054274e-08
418,1.9002398041756408e-06
419,2.574314743153394e-05
420,0.0
421,0.0
422,0.0
423,0.00010807483018737685
424,1.509903313490213e-14
425,0.0
426,4.951594689828198e-13
427,6.658333884246304e-10
428,7.366111720585877e-09
429,6.084022174945858e-13
430,3.9968028886505635e-15
431,7.350786646043161e-12
432,8.318149946617837e-09
433,9.033404468894446e-09
434,0.05056897478598943
435,0.0
436,0.0
437,1.8162606245653024e-06
438,2.1059376464904744e-10
439,3.255538061353036e-10
440,0.0
441,3.148977967271094e-09
442,0.0
443,1.4013359583842089e-08
444,0.001586541778429984
445,1.3152736233479345e-08
446,9.259530919791814e-10
