,0
372,-0.008457370881227
373,-1.1891623241666593e-09
374,0.0
375,0.0
376,-3.6008820711086464e-05
377,-2.345607352793877e-08
378,-0.019794070302788347
379,0.0
380,-0.08613203811119297
381,-0.0012386337003598147
382,-1.9695356456850277e-13
383,-1.582067810090848e-13
384,-0.001426103660152167
385,-5.846912737750287e-06
386,-1.2307241215037124e-07
387,-3.2088197338131508e-06
388,-0.07075043540256676
389,-0.005751510688943751
390,-1.1065892520534248e-05
391,-0.00029799223964266375
392,-1.5973694875714983e-06
393,-6.79743376030828e-08
394,-2.4696454512529442e-06
395,-0.0055656073253445015
396,-0.012808191411906034
397,-2.7109388686885616e-05
398,-2.4465205417101288e-09
399,-0.00020262714869612175
400,-1.5549577051410246e-05
401,-5.4027518014976295e-09
402,-2.520646782411262e-07
403,-6.301109376161129e-05
404,0.0
405,-2.2626182445417697e-06
406,-4.575187273481163e-08
407,-2.3573095358608853e-05
408,0.0
409,-1.4711309053172528e-06
410,-0.00014317680325359738
411,-0.0009180043142922312
412,-0.07326570257372145
413,-0.0005751720548606842
414,-0.0003621834336112739
415,-0.006657416873192767
416,-5.617547133907053e-06
417,-1.3877787807814457e-13
418,-5.634701660817143e-07
419,-0.008131019726100197
420,-9.059752947848665e-11
421,-0.0040231453858905475
422,-1.7429622111819754e-05
423,-0.00041068898228924233
424,-0.003652355939106622
425,-3.059779703606935e-06
426,-7.85072007403187e-11
427,-0.008398052216734397
428,-4.2569927449775946e-07
429,-6.867795221410233e-11
430,-1.8104867109736134e-05
431,-0.00016686292960255145
432,-3.678226168091214e-08
433,-1.6954501468990912e-05
434,-3.7605849545485626e-09
435,-4.3986588260658266e-08
436,-1.770165125591916e-09
437,-0.0006929793017632635
438,-1.2763597750931055e-05
439,-4.31686905489892e-05
440,-3.524248830544252e-07
441,-6.246645845031651e-08
442,-3.7826741738911096e-11
443,-0.0020984962476189306
444,-0.0032103640891649743
445,-6.530065377319261e-11
446,-0.0019703429236719305
447,-2.522131215543233e-06
